Vehicle ID,Frame ID,Total Frames,Global Time (Epoch Time),Local X,Local Y,Global X,Global Y,Vehicle Length,Vehicle Width,Vehicle Class,Vehicle Velocity,Vehicle Acceleration,Lane Identification,Preceding Vehicle,Following Vehicle,Spacing (Space Headway),Headway (Time Headway),label,lateral_displacement,max_lateral_velocity,sustained_movement
79.0,255.0,432.0,1118847004400.0,40.914,267.063,6451280.481,1873158.13,10.5,5.0,2.0,32.78,0.43,4.0,73.0,91.0,70.62,2.15,1.0,0.37400000000000233,0.7580000000000027,False
59.0,484.0,475.0,1118847027300.0,7.874,1401.4,6452151.293,1872427.892,18.0,5.4,2.0,35.0,-0.02,1.0,56.0,72.0,71.01,2.03,1.0,0.08699999999999974,0.175,False
84.0,245.0,461.0,1118847003400.0,15.024,167.522,6451228.266,1873248.211,20.0,6.4,2.0,29.41,1.36,2.0,78.0,94.0,72.76,2.47,1.0,0.08299999999999841,1.7509999999999994,True
90.0,307.0,295.0,1118847009600.0,53.712,428.623,6451389.942,1873037.116,15.5,6.9,2.0,34.99,0.0,5.0,82.0,100.0,49.25,1.41,1.0,0.46000000000000085,1.4969999999999999,True
71.0,175.0,489.0,1118846996400.0,15.994,135.696,6451205.778,1873270.96,18.0,6.9,2.0,35.0,0.0,2.0,56.0,69.0,59.73,1.71,1.0,1.309000000000001,0.9920000000000009,False
75.0,258.0,484.0,1118847004700.0,52.992,381.572,6451355.831,1873069.531,13.5,4.9,2.0,29.99,0.0,5.0,74.0,82.0,60.27,2.01,1.0,0.37000000000000455,0.820999999999998,True
134.0,344.0,479.0,1118847013300.0,4.968,160.858,6451230.984,1873260.052,15.0,6.9,2.0,29.99,-0.49,1.0,132.0,137.0,55.58,1.85,0.0,2.203,3.5370000000000013,True
135.0,334.0,454.0,1118847012300.0,39.448,195.288,6451229.862,1873211.218,12.0,5.0,2.0,34.99,0.0,4.0,124.0,141.0,90.22,2.58,1.0,0.06900000000000261,0.9909999999999997,True
14.0,352.0,515.0,1118847014100.0,53.315,1224.443,6451988.021,1872510.11,24.0,8.5,3.0,34.01,-0.09,5.0,6.0,31.0,180.96,5.32,1.0,0.3440000000000012,0.563999999999993,False
77.0,437.0,494.0,1118847022600.0,9.327,1079.197,6451907.63,1872638.717,18.0,5.9,2.0,35.0,0.0,1.0,69.0,95.0,52.16,1.49,1.0,0.10100000000000087,0.15799999999999947,False
32.0,117.0,438.0,1118846990600.0,16.172,193.93,6451245.74,1873228.291,16.5,5.9,2.0,34.99,0.0,2.0,26.0,0.0,46.94,1.34,2.0,2.838000000000001,2.1610000000000014,True
72.0,220.0,479.0,1118847000900.0,4.311,200.185,6451258.634,1873231.973,17.0,4.9,2.0,29.99,0.0,1.0,59.0,77.0,46.11,1.54,2.0,2.606,1.9590000000000003,True
151.0,611.0,457.0,1118847040000.0,18.156,1131.681,6451941.405,1872597.584,18.5,7.4,2.0,35.0,0.0,2.0,146.0,159.0,78.62,2.25,1.0,0.021999999999998465,0.08400000000000318,False
26.0,101.0,438.0,1118846989000.0,14.946,185.573,6451240.848,1873235.177,11.5,7.0,2.0,34.99,0.0,2.0,22.0,32.0,49.49,1.41,2.0,2.1270000000000007,1.8760000000000048,True
32.0,121.0,438.0,1118846991000.0,16.54,207.925,6451255.15,1873217.926,16.5,5.9,2.0,34.99,0.0,2.0,26.0,0.0,47.13,1.35,2.0,3.2609999999999992,2.1610000000000014,True
14.0,322.0,515.0,1118847011100.0,52.242,1125.589,6451914.423,1872575.884,24.0,8.5,3.0,30.99,0.19,5.0,6.0,31.0,144.7,4.67,1.0,1.618000000000002,1.5420000000000016,True
54.0,175.0,440.0,1118846996400.0,3.987,151.378,6451225.25,1873267.656,17.0,7.4,2.0,35.0,0.0,1.0,44.0,59.0,52.92,1.51,1.0,1.1639999999999997,0.9330000000000007,True
77.0,522.0,494.0,1118847031100.0,8.428,1342.378,6452106.418,1872466.205,18.0,5.9,2.0,34.9,2.04,1.0,69.0,95.0,72.65,2.08,1.0,0.24899999999999878,1.081999999999999,False
164.0,669.0,461.0,1118847045800.0,17.628,1217.233,6452006.117,1872541.702,16.5,7.4,2.0,35.0,0.0,2.0,159.0,175.0,60.78,1.74,1.0,1.061,1.4699999999999989,False
170.0,501.0,476.0,1118847029000.0,28.442,446.725,6451420.364,1873043.445,32.5,8.5,3.0,34.77,2.19,3.0,161.0,182.0,62.15,1.79,2.0,2.317,2.7310000000000016,True
