Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,Preceding,Following,Space_Headway,Time_Headway,lane_change
1,146,421,1120000000000,52.544,96.415,6451128.359,1873301.311,15,6.4,2,25,0,5,0,0,0,0,1
1,159,421,1120000000000,52.406,128.617,6451150.438,1873276.989,15,6.4,2,23.81,4.39,5,0,0,0,0,1
1,160,421,1120000000000,52.451,130.974,6451152.204,1873275.025,15,6.4,2,24.24,9.03,5,0,0,0,0,1
1,174,421,1120000000000,52.865,166.005,6451175.745,1873249.111,15,6.4,2,25,0,5,0,5,0,0,1
1,189,421,1120000000000,53.448,203.11,6451200.961,1873221.17,15,6.4,2,23.22,5.9,5,0,5,0,0,1
1,193,421,1120000000000,53.713,212.979,6451207.75,1873213.692,15,6.4,2,25.24,0,5,0,5,0,0,1
1,198,421,1120000000000,54.045,225.558,6451216.236,1873204.344,15,6.4,2,26.06,9.95,5,0,5,0,0,1
1,199,421,1120000000000,54.05,228.243,6451217.956,1873202.539,15,6.4,2,27.47,11.2,5,0,5,0,0,1
1,201,421,1120000000000,54.101,234.092,6451222.013,1873198.226,15,6.4,2,31.01,11.2,5,0,5,0,0,1
1,211,421,1120000000000,53.279,263.239,6451242.887,1873177.602,15,6.4,2,25.46,-11.2,5,0,5,0,0,1
1,214,421,1120000000000,53.162,269.434,6451248.158,1873172.336,15,6.4,2,19.06,11.2,5,0,5,0,0,1
1,215,421,1120000000000,53.329,271.478,6451249.805,1873170.513,15,6.4,2,21.01,11.2,5,0,5,0,0,1
1,227,421,1120000000000,55.13,299.724,6451269.08,1873149.378,15,6.4,2,24.59,9.22,5,0,5,0,0,1
1,241,421,1120000000000,55.286,335.593,6451294.776,1873124.327,15,6.4,2,25.9,1.19,5,0,5,0,0,1
1,248,421,1120000000000,55.493,353.73,6451307.663,1873111.583,15,6.4,2,25.76,-0.24,5,0,5,0,0,1
1,258,421,1120000000000,55.43,379.552,6451326.221,1873093.734,15,6.4,2,25.08,-10.85,5,0,5,0,0,1
1,262,421,1120000000000,55.482,388.588,6451333.644,1873086.593,15,6.4,2,23.32,11.2,5,0,5,0,0,1
1,270,569,1120000000000,51.164,112.878,6451136.708,1873294.084,47,8.5,3,19.89,0,5,0,0,0,0,1
1,271,421,1120000000000,55.401,413.895,6451352.401,1873069.417,15,6.4,2,30.29,-0.24,5,0,5,0,0,1
1,272,569,1120000000000,51.143,116.878,6451139.397,1873291.122,47,8.5,3,19.89,0,5,0,0,0,0,1
1,276,569,1120000000000,51.213,124.815,6451144.65,1873285.171,47,8.5,3,20,0,5,0,0,0,0,1
1,285,569,1120000000000,51.29,141.929,6451156.749,1873271.844,47,8.5,3,20,0,5,0,0,0,0,1
1,286,421,1120000000000,54.52,458.955,6451386.148,1873039.514,15,6.4,2,27.94,-4.68,5,0,5,0,0,1
1,293,421,1120000000000,54.816,479.359,6451400.937,1873025.482,15,6.4,2,29.99,0,5,0,5,0,0,1
1,294,421,1120000000000,54.88,482.359,6451403.099,1873023.402,15,6.4,2,29.99,0,5,0,5,0,0,1
1,297,569,1120000000000,51.582,165.927,6451172.88,1873254.074,47,8.5,3,20,0,5,0,0,0,0,1
1,303,569,1120000000000,51.704,178.003,6451181.012,1873245.153,47,8.5,3,21.17,6.5,5,0,6,0,0,1
1,304,421,1120000000000,55.44,512.1,6451424.58,1873002.845,15,6.4,2,30.69,9.84,5,0,5,0,0,1
